"threshold","recall","precision"
0.974944908951796,0.002,1
0.969302071920845,0.004,1
0.967469875272746,0.006,1
0.944919151821238,0.008,1
0.942918527763246,0.01,1
0.942900338325474,0.012,1
0.939761657329831,0.014,1
0.939423573068757,0.016,1
0.937605218416908,0.018,1
0.929984487135365,0.02,1
0.927133642130558,0.022,1
0.913978967397941,0.024,1
0.90958054313902,0.026,1
0.902113828626673,0.028,1
0.895560942474701,0.03,1
0.888417618180238,0.032,1
0.8858384823103,0.034,1
0.885523738375878,0.034,0.944444444444444
0.881118405337434,0.036,0.947368421052632
0.877856115112001,0.038,0.95
0.876982999979552,0.04,0.952380952380952
0.876108444194998,0.042,0.954545454545455
0.874061091086034,0.044,0.956521739130435
0.871869139318999,0.046,0.958333333333333
0.869718788119935,0.048,0.96
0.866666625472613,0.05,0.961538461538462
0.865984740015684,0.052,0.962962962962963
0.865909455394307,0.054,0.964285714285714
0.863614585550514,0.054,0.931034482758621
0.863247088366203,0.056,0.933333333333333
0.861854699568459,0.058,0.935483870967742
0.854207922145405,0.06,0.9375
0.85042986734648,0.06,0.909090909090909
0.848670126089269,0.062,0.911764705882353
0.847694247719394,0.062,0.885714285714286
0.845911354830871,0.064,0.888888888888889
0.844251314838065,0.064,0.864864864864865
0.840643491459739,0.064,0.842105263157895
0.839954319245511,0.066,0.846153846153846
0.83692763203743,0.068,0.85
0.830689806071522,0.07,0.853658536585366
0.82746579461319,0.072,0.857142857142857
0.826082576542972,0.074,0.86046511627907
0.825055519930858,0.076,0.863636363636364
0.821284950251959,0.076,0.844444444444444
0.820101100194402,0.076,0.826086956521739
0.818827987585049,0.078,0.829787234042553
0.817454751941086,0.08,0.833333333333333
0.816656865244597,0.082,0.836734693877551
0.812389011417364,0.084,0.84
0.811532527079564,0.086,0.843137254901961
0.811257697036959,0.086,0.826923076923077
0.810390530073773,0.088,0.830188679245283
0.806926415002091,0.09,0.833333333333333
0.803465409340971,0.092,0.836363636363636
0.802157816902257,0.094,0.839285714285714
0.795226386284109,0.096,0.842105263157895
0.794767982266842,0.098,0.844827586206897
0.794708784844837,0.098,0.830508474576271
0.792251399593475,0.1,0.833333333333333
0.791412443267896,0.102,0.836065573770492
0.786972859263364,0.104,0.838709677419355
0.785099430983759,0.106,0.841269841269841
0.783153253807271,0.108,0.84375
0.78107970829563,0.11,0.846153846153846
0.780973434568636,0.112,0.848484848484849
0.779354233356623,0.112,0.835820895522388
0.777776858194417,0.114,0.838235294117647
0.777405468514876,0.116,0.840579710144927
0.775215585057323,0.118,0.842857142857143
0.771906481341006,0.118,0.830985915492958
0.771872900511274,0.12,0.833333333333333
0.771570376424383,0.12,0.821917808219178
0.770390783170899,0.122,0.824324324324324
0.759601412175407,0.124,0.826666666666667
0.759587866351542,0.126,0.828947368421053
0.755445802744661,0.128,0.831168831168831
0.753680905233272,0.13,0.833333333333333
0.751611756130718,0.132,0.835443037974684
0.750659211239962,0.134,0.8375
0.747499130709081,0.134,0.827160493827161
0.743207076049984,0.136,0.829268292682927
0.742160855689633,0.138,0.831325301204819
0.740895822609996,0.14,0.833333333333333
0.737511533696674,0.14,0.823529411764706
0.734191169620971,0.142,0.825581395348837
0.733780244041175,0.142,0.816091954022989
0.729896947318302,0.144,0.818181818181818
0.72824035912097,0.146,0.820224719101124
0.727764576626585,0.146,0.811111111111111
0.716940274835893,0.146,0.802197802197802
0.716903014082054,0.148,0.804347826086957
0.714470237623031,0.15,0.806451612903226
0.714232031314896,0.15,0.797872340425532
0.713824324704711,0.152,0.8
0.713085852861903,0.154,0.802083333333333
0.711769540938432,0.156,0.804123711340206
0.710513568211234,0.158,0.806122448979592
0.707210576292315,0.16,0.808080808080808
0.703462322466157,0.162,0.81
0.702832171355958,0.164,0.811881188118812
0.69807564725237,0.166,0.813725490196078
0.697215416555917,0.168,0.815533980582524
0.696961000873179,0.17,0.817307692307692
0.696206649256779,0.172,0.819047619047619
0.69547553214562,0.172,0.811320754716981
0.69404847328668,0.174,0.813084112149533
0.692018593400672,0.176,0.814814814814815
0.691209027969652,0.178,0.81651376146789
0.687068390641197,0.18,0.818181818181818
0.686701325094939,0.18,0.810810810810811
0.680009025468108,0.182,0.8125
0.676254441437747,0.182,0.805309734513274
0.676211738887373,0.184,0.807017543859649
0.674336734244828,0.186,0.808695652173913
0.671547779564688,0.188,0.810344827586207
0.669499020331801,0.19,0.811965811965812
0.667162835019625,0.192,0.813559322033898
0.667081745165631,0.194,0.815126050420168
0.666258543243198,0.196,0.816666666666667
0.665048746878422,0.198,0.818181818181818
0.662316057694516,0.2,0.819672131147541
0.661809087562983,0.202,0.821138211382114
0.660093392846222,0.202,0.814516129032258
0.655356051886265,0.202,0.808
0.652946355088727,0.202,0.801587301587302
0.652941411921584,0.204,0.803149606299213
0.650962723133709,0.206,0.8046875
0.641510791213707,0.206,0.798449612403101
0.640511531843782,0.206,0.792307692307692
0.637460745979356,0.208,0.793893129770992
0.636339492400756,0.208,0.787878787878788
0.635700714572658,0.21,0.789473684210526
0.634485176635835,0.212,0.791044776119403
0.633534190969713,0.214,0.792592592592593
0.633358179834999,0.214,0.786764705882353
0.632492573477113,0.216,0.788321167883212
0.6311052469278,0.218,0.789855072463768
0.627749150204426,0.218,0.784172661870504
0.626889036086611,0.22,0.785714285714286
0.626088702049612,0.222,0.787234042553192
0.622786736676157,0.222,0.78169014084507
0.620960148185878,0.222,0.776223776223776
0.619124911162665,0.224,0.777777777777778
0.615800910757258,0.226,0.779310344827586
0.615663683020981,0.228,0.780821917808219
0.612762945252493,0.228,0.775510204081633
0.611237916432602,0.228,0.77027027027027
0.610979654201906,0.23,0.771812080536913
0.605141814249435,0.232,0.773333333333333
0.605033099611177,0.234,0.774834437086093
0.604384106976556,0.236,0.776315789473684
0.603554338478236,0.236,0.77124183006536
0.602386709446482,0.238,0.772727272727273
0.602014960328635,0.238,0.767741935483871
0.599768772718654,0.238,0.762820512820513
0.59900943629837,0.238,0.75796178343949
0.598498539697482,0.24,0.759493670886076
0.598417781023552,0.242,0.761006289308176
0.597988052986756,0.244,0.7625
0.597824518655082,0.246,0.763975155279503
0.597671169610019,0.248,0.765432098765432
0.597195034113326,0.248,0.760736196319018
0.594748982512392,0.25,0.76219512195122
0.594197214561345,0.252,0.763636363636364
0.592660842807124,0.254,0.765060240963855
0.592059909872967,0.256,0.766467065868264
0.591537247910771,0.258,0.767857142857143
0.590544229173924,0.258,0.763313609467456
0.588421525724738,0.26,0.764705882352941
0.588358066183624,0.26,0.760233918128655
0.587954543898154,0.26,0.755813953488372
0.58785272432897,0.262,0.757225433526012
0.587049728012046,0.262,0.752873563218391
0.586628331721608,0.264,0.754285714285714
0.585611945738176,0.266,0.755681818181818
0.584806000715876,0.268,0.757062146892655
0.584553846536964,0.27,0.758426966292135
0.581407727726437,0.27,0.754189944134078
0.577898178672761,0.27,0.75
0.570206302113916,0.272,0.751381215469613
0.566265955354029,0.274,0.752747252747253
0.56371673893039,0.274,0.748633879781421
0.563415178862869,0.276,0.75
0.561603274548485,0.278,0.751351351351351
0.560758514304345,0.278,0.747311827956989
0.559635194128216,0.278,0.74331550802139
0.559592888612119,0.28,0.74468085106383
0.556323767163876,0.28,0.740740740740741
0.552535404569755,0.282,0.742105263157895
0.552279842277676,0.282,0.738219895287958
0.552023333914053,0.284,0.739583333333333
0.550929434932521,0.284,0.735751295336788
0.550555812776157,0.284,0.731958762886598
0.550380472662745,0.286,0.733333333333333
0.550106584255074,0.286,0.729591836734694
0.54789034868849,0.288,0.730964467005076
0.547198736082853,0.29,0.732323232323232
0.546072134319262,0.292,0.733668341708543
0.545183915690531,0.294,0.735
0.543263303232286,0.294,0.73134328358209
0.540640770745815,0.296,0.732673267326733
0.540359102975246,0.298,0.733990147783251
0.540196358605859,0.3,0.735294117647059
0.540116978309237,0.302,0.736585365853659
0.539406248018431,0.304,0.737864077669903
0.538371143808765,0.306,0.739130434782609
0.537472484640746,0.306,0.735576923076923
0.535877200964082,0.308,0.736842105263158
0.535205046411251,0.308,0.733333333333333
0.533704271235471,0.31,0.734597156398104
0.533680813232885,0.31,0.731132075471698
0.532869277960962,0.312,0.732394366197183
0.531980128927628,0.314,0.733644859813084
0.529154983731762,0.316,0.734883720930233
0.52875461080841,0.316,0.731481481481482
0.527482339583851,0.318,0.732718894009217
0.52668910206345,0.32,0.73394495412844
0.52667569754376,0.322,0.735159817351598
0.526139675688951,0.322,0.731818181818182
0.525341655738573,0.322,0.728506787330317
0.524828575020604,0.322,0.725225225225225
0.523943890346994,0.322,0.721973094170404
0.523502754624409,0.322,0.71875
0.521958971767605,0.322,0.715555555555556
0.52021243464641,0.322,0.712389380530973
0.516614728803762,0.324,0.713656387665198
0.515789136154763,0.324,0.710526315789474
0.513822872292013,0.326,0.7117903930131
0.51276901465472,0.328,0.71304347826087
0.512601803999223,0.33,0.714285714285714
0.512470267896826,0.332,0.71551724137931
0.510900652344714,0.334,0.716738197424893
0.509967999915682,0.334,0.713675213675214
0.50892604435514,0.336,0.714893617021277
0.508587720871895,0.336,0.711864406779661
0.505115118054489,0.338,0.713080168776371
0.501486670743953,0.34,0.714285714285714
0.498832358250065,0.34,0.711297071129707
0.498626371888046,0.34,0.708333333333333
0.4984733658522,0.34,0.705394190871369
0.49820709095147,0.34,0.702479338842975
0.497935331509076,0.342,0.703703703703704
0.497703329493799,0.344,0.704918032786885
0.494804284829502,0.346,0.706122448979592
0.494538204945581,0.346,0.703252032520325
0.493169856201634,0.348,0.704453441295547
0.490823285649824,0.35,0.705645161290323
0.490470145916484,0.352,0.706827309236948
0.489294128265266,0.354,0.708
0.488866773592029,0.354,0.705179282868526
0.488075185031871,0.356,0.706349206349206
0.487516158653832,0.356,0.703557312252964
0.486316644389233,0.358,0.704724409448819
0.483248685904914,0.36,0.705882352941177
0.482125649704961,0.36,0.703125
0.48188190442866,0.362,0.704280155642023
0.480784990975959,0.364,0.705426356589147
0.480220340184843,0.364,0.702702702702703
0.47858766918081,0.364,0.7
0.478375201786499,0.366,0.701149425287356
0.478052483649018,0.368,0.702290076335878
0.476514468333036,0.368,0.699619771863118
0.476398889469614,0.37,0.700757575757576
0.475655757023451,0.37,0.69811320754717
0.475311168400775,0.372,0.699248120300752
0.472051385769713,0.372,0.696629213483146
0.471155697278135,0.372,0.694029850746269
0.470493222245333,0.372,0.691449814126394
0.469859896829416,0.374,0.692592592592593
0.469751641408431,0.376,0.693726937269373
0.469414464839246,0.376,0.691176470588235
0.468263594687456,0.378,0.692307692307692
0.467306047974336,0.38,0.693430656934307
0.466770175803081,0.382,0.694545454545455
0.466306290387242,0.382,0.692028985507246
0.466209601144948,0.384,0.693140794223827
0.465989622383323,0.386,0.694244604316547
0.465808667656177,0.388,0.695340501792115
0.46579171651851,0.388,0.692857142857143
0.465319272564226,0.388,0.690391459074733
0.464071418772743,0.39,0.691489361702128
0.464042312115699,0.392,0.692579505300353
0.46298422037766,0.394,0.693661971830986
0.462915525884728,0.394,0.691228070175439
0.462648816267998,0.396,0.692307692307692
0.46124534149357,0.398,0.693379790940767
0.460708841999782,0.398,0.690972222222222
0.460294402068401,0.4,0.692041522491349
0.458317236450678,0.402,0.693103448275862
0.458225645241201,0.404,0.694158075601375
0.457845144592182,0.406,0.695205479452055
0.45766940004707,0.406,0.692832764505119
0.45756159867429,0.408,0.693877551020408
0.457069042150707,0.41,0.694915254237288
0.457028171754935,0.412,0.695945945945946
0.456593165970349,0.414,0.696969696969697
0.454780829882663,0.416,0.697986577181208
0.453730225535412,0.418,0.698996655518395
0.453320456852044,0.418,0.696666666666667
0.453292952729381,0.418,0.694352159468439
0.452782997649118,0.418,0.69205298013245
0.452553196917429,0.418,0.68976897689769
0.452288214867193,0.418,0.6875
0.451357604401015,0.418,0.685245901639344
0.450591544033591,0.42,0.686274509803922
0.450557354964047,0.42,0.684039087947883
0.449985778227224,0.42,0.681818181818182
0.449137218431655,0.42,0.679611650485437
0.448910386802277,0.42,0.67741935483871
0.448877052407362,0.422,0.678456591639871
0.447565462266112,0.422,0.676282051282051
0.445999030821878,0.422,0.674121405750799
0.445866080117582,0.422,0.671974522292994
0.443376299398438,0.424,0.673015873015873
0.442182927570844,0.424,0.670886075949367
0.441259974689826,0.424,0.668769716088328
0.440994465298258,0.426,0.669811320754717
0.439228987972859,0.426,0.667711598746082
0.439059787429844,0.428,0.66875
0.438558683773771,0.428,0.666666666666667
0.438089024524629,0.428,0.664596273291925
0.437898803010589,0.428,0.662538699690402
0.436328329039632,0.428,0.660493827160494
0.435178266950135,0.43,0.661538461538462
0.43457931289753,0.43,0.659509202453988
0.434144303754198,0.43,0.657492354740061
0.433434434947527,0.432,0.658536585365854
0.430420133585359,0.434,0.659574468085106
0.427515265216005,0.436,0.660606060606061
0.427324720488044,0.436,0.658610271903323
0.427160060566394,0.436,0.656626506024096
0.427145252881069,0.436,0.654654654654655
0.426390524064164,0.436,0.652694610778443
0.425972301022889,0.438,0.653731343283582
0.425784447221127,0.438,0.651785714285714
0.425699384516158,0.44,0.652818991097923
0.425503996420028,0.442,0.653846153846154
0.425282879309214,0.442,0.651917404129793
0.424040059498579,0.442,0.65
0.423625298089149,0.442,0.648093841642229
0.42357580635646,0.442,0.646198830409357
0.423514756556823,0.442,0.644314868804665
0.423105894534697,0.444,0.645348837209302
0.422544126067489,0.446,0.646376811594203
0.422322375249221,0.446,0.644508670520231
0.422296984567757,0.446,0.642651296829971
0.421859308058972,0.448,0.64367816091954
0.421683484157898,0.448,0.641833810888252
0.421638135104479,0.45,0.642857142857143
0.421619092395183,0.45,0.641025641025641
0.421249689458527,0.45,0.639204545454545
0.418376168349055,0.45,0.637393767705382
0.418054278012681,0.45,0.635593220338983
0.416848005146038,0.45,0.633802816901408
0.415084085855795,0.45,0.632022471910112
0.414983898075882,0.45,0.630252100840336
0.414549637913115,0.452,0.631284916201117
0.414333217697421,0.454,0.632311977715877
0.414311169217626,0.454,0.630555555555556
0.413899627760105,0.454,0.628808864265928
0.413336283238701,0.456,0.629834254143646
0.413159462188527,0.456,0.628099173553719
0.412894536283265,0.458,0.629120879120879
0.412872802260336,0.458,0.627397260273973
